"","Name","Vorname","Kanton","Partei","Alter","geburtsdatum"
"1","Haller","Chiara","Zürich","EVP",18,2005-10-22
"2","Suter","Meo","Basel-Landschaft","SP",18,2005-09-29
"3","Eckert","Leona","Graubünden","EVP",18,2005-09-28
"4","Speer","Jelena","Zürich","SP",18,2005-09-12
"5","Ramé","Jean-François","Wallis","SVP",18,2005-09-05
"6","Schmidbauer","Georg","Zürich","GLP",18,2005-08-26
"7","Freienmuth","Emilia","Thurgau","Grüne",18,2005-08-23
"8","Del Fabro","Melanie","Aargau","SP",18,2005-08-20
"9","Zibetti","Chiara","Waadt","FDP",18,2005-08-19
"10","Semenova","Daria","Zürich","SP",18,2005-08-17
"11","Yasseri Sharif","Noor","Zug","FDP",18,2005-08-12
"12","Coral","Tanguy","Freiburg","SVP",18,2005-07-31
"13","Fellmann","Anastassya","Tessin","SVP",18,2005-07-28
"14","Haddad","Gabriel","Genf","Mitte",18,2005-07-21
"15","Schneider","Mona","Thurgau","Mitte",18,2005-07-16
"16","Vogel","Nora","Waadt","SP",18,2005-07-15
"17","Schelbert","Petra","Schwyz","SP",18,2005-07-13
"18","Saiah","Abdel","Waadt","SP",18,2005-07-13
"19","Valsangiacomo","Alex","Tessin","Ubrige",18,2005-07-07
"20","Rosatti","Lana Lulu","Bern","SP",18,2005-07-02
