"","Nome","Cognome","Canton","Partito","Età"
"1","Grünenfelder","Max","Zurigo","Mitte",88
"2","Ruggaber","Christa","Argovia","FDP",86
"3","Hofmann","Hans","Zurigo","SVP",85
"4","Aicher","Jean","Zurigo","Linksparteien",84
"5","Meli","Hedy","Zurigo","Mitte",84
"6","Angst","Rosa","Zurigo","Ubrige",83
"7","Franchi","Corina","Ticino","Mitte",83
"8","Berset","René","Zurigo","Mitte",82
"9","von Scarpatetti","Beat","Basilea Campagna","Grüne",82
"10","Pfeiffer","Peter","Turgovia","GLP",82
"11","Definti","Gianfranco","Ticino","Mitte",82
"12","Brändli","Otto","Zurigo","GLP",81
"13","Maurizio","Marco","Ticino","Grüne",81
"14","Schärer","Alec André","Giura","Ubrige",81
"15","Schneider","Rolf","Zurigo","Linksparteien",80
"16","Garzotto","Marina","Zurigo","SVP",80
"17","Scheuber","Karl","Zurigo","SP",80
"18","Büchi","Heinz","Zurigo","SVP",80
"19","Sigg-Riegler","Christine","Zurigo","Mitte",80
"20","Jenny","Rolf Walter","Zurigo","SVP",80
