"","Nome","Cognome","Canton","Partito","Età","Data di nascita"
"1","Haller","Chiara","Zurigo","EVP",18,2005-10-22
"2","Suter","Meo","Basilea Campagna","PS",18,2005-09-29
"3","Eckert","Leona","Grigioni","EVP",18,2005-09-28
"4","Speer","Jelena","Zurigo","PS",18,2005-09-12
"5","Ramé","Jean-François","Vallese","UDC",18,2005-09-05
"6","Schmidbauer","Georg","Zurigo","Verdi liberali",18,2005-08-26
"7","Freienmuth","Emilia","Turgovia","Verdi",18,2005-08-23
"8","Del Fabro","Melanie","Argovia","PS",18,2005-08-20
"9","Zibetti","Chiara","Vaud","PLR",18,2005-08-19
"10","Semenova","Daria","Zurigo","PS",18,2005-08-17
"11","Yasseri Sharif","Noor","Zugo","PLR",18,2005-08-12
"12","Coral","Tanguy","Friburgo","UDC",18,2005-07-31
"13","Fellmann","Anastassya","Ticino","UDC",18,2005-07-28
"14","Haddad","Gabriel","Ginevra","Centro",18,2005-07-21
"15","Schneider","Mona","Turgovia","Centro",18,2005-07-16
"16","Vogel","Nora","Vaud","PS",18,2005-07-15
"17","Schelbert","Petra","Svitto","PS",18,2005-07-13
"18","Saiah","Abdel","Vaud","PS",18,2005-07-13
"19","Valsangiacomo","Alex","Ticino","Diversi",18,2005-07-07
"20","Rosatti","Lana Lulu","Berna","PS",18,2005-07-02
