"","Jahrgang","Name","Vorname","Kanton","Partei","Alter","Geburtsdatum"
"1",2023,"Dittli","Josef","Uri","FDP",67,1957-04-11
"2",2023,"Germann","Hannes","Schaffhausen","SVP",67,1956-07-01
"3",2023,"Bischof","Pirmin","Solothurn","Mitte",65,1959-02-24
"4",2023,"Binder-Keller","Marianne","Aargau","Mitte",65,1958-06-15
"5",2023,"Häberli-Koller","Brigitte","Thurgau","Mitte",65,1958-08-23
"6",2023,"Stark","Jakob","Thurgau","SVP",65,1958-09-08
"7",2023,"Maret","Marianne","Wallis","Mitte",65,1958-06-15
"8",2023,"Poggia","Mauro","Genf","Übrige",64,1959-04-25
"9",2023,"Sommaruga","Carlo","Genf","SP",64,1959-07-08
"10",2023,"Hegglin","Peter","Zug","Mitte",63,1960-12-25
