"","jahr","Nom","Prénom","Canton","Parti","Age","Date de naissance"
"1",2023,"Dittli","Josef","Uri","PLR",66,1957-04-11
"2",2023,"Germann","Hannes","Schaffhouse","UDC",67,1956-07-01
"3",2023,"Bischof","Pirmin","Soleure","Le Centre",64,1959-02-24
"4",2023,"Binder-Keller","Marianne","Argovie","Le Centre",65,1958-06-15
"5",2023,"Häberli-Koller","Brigitte","Thurgovie","Le Centre",65,1958-08-23
"6",2023,"Stark","Jakob","Thurgovie","UDC",65,1958-09-08
"7",2023,"Maret","Marianne","Valais","Le Centre",65,1958-06-15
"8",2023,"Poggia","Mauro","Genève","Divers",64,1959-04-25
"9",2023,"Sommaruga","Carlo","Genève","PS",64,1959-07-08
"10",2023,"Hegglin","Peter","Zoug","Le Centre",62,1960-12-25
