"","jahr","Nome","Cognome","Cantone","Partito","Età","Data di nascita"
"1",2023,"Gapany","Johanna","Friburgo","PLR",35,1988-07-25
"2",2023,"Hurni","Baptiste","Neuchâtel","PS",38,1986-04-04
"3",2023,"Müller","Damian","Lucerna","PLR",39,1984-10-25
"4",2023,"Vara","Céline","Neuchâtel","Verdi",39,1984-10-04
"5",2023,"Zopfi","Mathias","Glarona","Verdi",40,1983-12-14
"6",2023,"Caroni","Andrea","Appenzello Esterno","PLR",44,1980-04-19
"7",2023,"Crevoisier Crelier","Mathilde","Giura","PS",44,1980-01-05
"8",2023,"Moser","Tiana Angelina","Zurigo","Verdi liberali",45,1979-04-06
"9",2023,"Wasserfallen","Flavia","Berna","PS",45,1979-02-07
"10",2023,"Mühlemann","Benjamin","Glarona","PLR",45,1979-02-01
