"","Année","UDC","PLR","Le Centre","PS","Les Vert-e-s","Vert'libéraux"
"1",1975,48.35,46.96,45.53,43.98,51.12,NA
"2",1979,44.29,47.92,46.38,43.98,37.61,NA
"3",1983,47.1,47.69,47.04,44.7,39.16,NA
"4",1987,44.98,44.74,46.25,44.18,40.26,NA
"5",1991,43.07,44.29,42.11,43.17,40.37,NA
"6",1995,42.04,44.38,41.98,44.1,41.46,NA
"7",1999,41.43,41.4,40.98,41.82,42.3,NA
"8",2003,44.44,40.24,39.52,39.57,41.28,NA
"9",2007,40.69,39.58,40.19,37.97,40.32,40.74
"10",2011,42.33,37.31,42.7,36.33,38.29,37.95
"11",2015,40.46,37.29,42.41,36.65,38.98,40.34
"12",2019,43.47,37.93,43.38,38.94,39.44,39.73
"13",2023,43.49,40.57,45.19,39.47,39.28,43.07
