"","Candidat","Somme","Elu","Parti","Canton","Kandidat","Summe","Gewählt","Partei","Kanton","Candidato","Somma","Eletto","Partito","Cantone","flag_gewaehlt"
"1","Tiana Angelina Moser",469984.18,"&#x2714","PVL","Zurich","Tiana Angelina Moser",469984.18,"&#x2714","GLP","Zürich","Tiana Angelina Moser",469984.18,"&#x2714","Verdi liberali","Zurigo",TRUE
"2","Thierry Burkart",341244.54,"&#x2714","PLR","Argovie","Thierry Burkart",341244.54,"&#x2714","FDP","Aargau","Thierry Burkart",341244.54,"&#x2714","PLR","Argovia",TRUE
"3","Pascal Broulis",287004.5,"&#x2714","PLR","Vaud","Pascal Broulis",287004.5,"&#x2714","FDP","Waadt","Pascal Broulis",287004.5,"&#x2714","PLR","Vaud",TRUE
"4","Flavia Wasserfallen",259541.6,"&#x2714","PS","Berne","Flavia Wasserfallen",259541.6,"&#x2714","SP","Bern","Flavia Wasserfallen",259541.6,"&#x2714","PS","Berna",TRUE
"5","Simon Stocker",259087,"&#x2714","PS","Schaffhouse","Simon Stocker",259087,"&#x2714","SP","Schaffhausen","Simon Stocker",259087,"&#x2714","PS","Sciaffusa",TRUE
"6","Werner Salzmann",245415,"&#x2714","UDC","Berne","Werner Salzmann",245415,"&#x2714","SVP","Bern","Werner Salzmann",245415,"&#x2714","UDC","Berna",TRUE
"7","Daniel Jositsch",218636.4,"&#x2714","PS","Zurich","Daniel Jositsch",218636.4,"&#x2714","SP","Zürich","Daniel Jositsch",218636.4,"&#x2714","PS","Zurigo",TRUE
"8","Marianne Binder-Keller",196599.67,"&#x2714","Le Centre","Argovie","Marianne Binder-Keller",196599.67,"&#x2714","Mitte","Aargau","Marianne Binder-Keller",196599.67,"&#x2714","Centro","Argovia",TRUE
"9","Martin Schmid",196147.5,"&#x2714","PLR","Grisons","Martin Schmid",196147.5,"&#x2714","FDP","Graubünden","Martin Schmid",196147.5,"&#x2714","PLR","Grigioni",TRUE
"10","Benedikt Würth",192713.45,"&#x2714","Le Centre","Saint-Gall","Benedikt Würth",192713.45,"&#x2714","Mitte","St. Gallen","Benedikt Würth",192713.45,"&#x2714","Centro","San Gallo",TRUE
"11","Franziska Roth",177380.25,"&#x2714","PS","Soleure","Franziska Roth",177380.25,"&#x2714","SP","Solothurn","Franziska Roth",177380.25,"&#x2714","PS","Soletta",TRUE
"12","Petra Gössi",162086,"&#x2714","PLR","Schwyz","Petra Gössi",162086,"&#x2714","FDP","Schwyz","Petra Gössi",162086,"&#x2714","PLR","Svitto",TRUE
"13","Johanna Gapany",160752.5,"&#x2714","PLR","Fribourg","Johanna Gapany",160752.5,"&#x2714","FDP","Freiburg","Johanna Gapany",160752.5,"&#x2714","PLR","Friburgo",TRUE
"14","Beat Rieder",157728.9,"&#x2714","Le Centre","Valais","Beat Rieder",157728.9,"&#x2714","Mitte","Wallis","Beat Rieder",157728.9,"&#x2714","Centro","Vallese",TRUE
"15","Damian Müller",154916,"&#x2714","PLR","Lucerne","Damian Müller",154916,"&#x2714","FDP","Luzern","Damian Müller",154916,"&#x2714","PLR","Lucerna",TRUE
"16","Fabio Regazzi",149005.95,"&#x2714","Le Centre","Tessin","Fabio Regazzi",149005.95,"&#x2714","Mitte","Tessin","Fabio Regazzi",149005.95,"&#x2714","Centro","Ticino",TRUE
"17","Jakob Stark",145436,"&#x2714","UDC","Thurgovie","Jakob Stark",145436,"&#x2714","SVP","Thurgau","Jakob Stark",145436,"&#x2714","UDC","Turgovia",TRUE
"18","Pirmin Bischof",139207.1,"&#x2714","Le Centre","Soleure","Pirmin Bischof",139207.1,"&#x2714","Mitte","Solothurn","Pirmin Bischof",139207.1,"&#x2714","Centro","Soletta",TRUE
"19","Michaël Buffat",138610.5,"","UDC","Vaud","Michaël Buffat",138610.5,"","SVP","Waadt","Michaël Buffat",138610.5,"","UDC","Vaud",FALSE
"20","Eva Herzog",124191.71,"&#x2714","PS","Bâle-Ville","Eva Herzog",124191.71,"&#x2714","SP","Basel-Stadt","Eva Herzog",124191.71,"&#x2714","PS","Basilea Città",TRUE
"21","Carlo Sommaruga",112845,"&#x2714","PS","Genève","Carlo Sommaruga",112845,"&#x2714","SP","Genf","Carlo Sommaruga",112845,"&#x2714","PS","Ginevra",TRUE
"22","Lisa Mazzone",112845,"","Les Vert-e-s","Genève","Lisa Mazzone",112845,"","Grüne","Genf","Lisa Mazzone",112845,"","Verdi","Ginevra",FALSE
"23","Isabelle Chassot",109572,"&#x2714","Le Centre","Fribourg","Isabelle Chassot",109572,"&#x2714","Mitte","Freiburg","Isabelle Chassot",109572,"&#x2714","Centro","Friburgo",TRUE
"24","Marianne Maret",105163.4,"&#x2714","Le Centre","Valais","Marianne Maret",105163.4,"&#x2714","Mitte","Wallis","Marianne Maret",105163.4,"&#x2714","Centro","Vallese",TRUE
"25","Esther Friedli",105042.9,"&#x2714","UDC","Saint-Gall","Esther Friedli",105042.9,"&#x2714","SVP","St. Gallen","Esther Friedli",105042.9,"&#x2714","UDC","San Gallo",TRUE
"26","Brigitte Häberli-Koller",104953.6,"&#x2714","Le Centre","Thurgovie","Brigitte Häberli-Koller",104953.6,"&#x2714","Mitte","Thurgau","Brigitte Häberli-Koller",104953.6,"&#x2714","Centro","Turgovia",TRUE
"27","Maya Graf",103282.95,"&#x2714","Les Vert-e-s","Bâle-Campagne","Maya Graf",103282.95,"&#x2714","Grüne","Basel-Landschaft","Maya Graf",103282.95,"&#x2714","Verdi","Basilea Campagna",TRUE
"28","Raphaël Mahaim",90518.85,"","Les Vert-e-s","Vaud","Raphaël Mahaim",90518.85,"","Grüne","Waadt","Raphaël Mahaim",90518.85,"","Verdi","Vaud",FALSE
"29","Pierre-Yves Maillard",90518.85,"&#x2714","PS","Vaud","Pierre-Yves Maillard",90518.85,"&#x2714","SP","Waadt","Pierre-Yves Maillard",90518.85,"&#x2714","PS","Vaud",TRUE
"30","Hannes Germann",81740.9,"&#x2714","UDC","Schaffhouse","Hannes Germann",81740.9,"&#x2714","SVP","Schaffhausen","Hannes Germann",81740.9,"&#x2714","UDC","Sciaffusa",TRUE
"31","Matthias Michel",75185.53,"&#x2714","PLR","Zoug","Matthias Michel",75185.53,"&#x2714","FDP","Zug","Matthias Michel",75185.53,"&#x2714","PLR","Zugo",TRUE
"32","Andrea Gmür-Schönenberger",73935.45,"&#x2714","Le Centre","Lucerne","Andrea Gmür-Schönenberger",73935.45,"&#x2714","Mitte","Luzern","Andrea Gmür-Schönenberger",73935.45,"&#x2714","Centro","Lucerna",TRUE
"33","Stefan Engler",73896.89,"&#x2714","Le Centre","Grisons","Stefan Engler",73896.89,"&#x2714","Mitte","Graubünden","Stefan Engler",73896.89,"&#x2714","Centro","Grigioni",TRUE
