"","Name","Vorname","Kanton","Partei","Alter"
"1","Grin","Jean-Pierre","Waadt","SVP",72
"2","Brélaz","Daniel","Waadt","Grüne",70
"3","Eymann","Christoph","Basel-Stadt","FDP",69
"4","Gschwind","Jean-Paul","Jura","Mitte",67
"5","Haller","Jocelyne","Genf","Linksparteien",66
"6","Vitali","Albert","Luzern","FDP",64
"7","Gmür","Alois","Schwyz","Mitte",64
"8","Fluri","Kurt","Solothurn","FDP",64
"9","Munz","Martina","Schaffhausen","SP",64
"10","Herzog","Verena","Thurgau","SVP",64
"11","Egger","Kurt","Thurgau","Grüne",64
"12","Français","Olivier","Waadt","FDP",64
"13","Fehlmann Rielle","Laurence","Genf","SP",64
"14","Fiala","Doris","Zürich","FDP",63
"15","Streiff","Marianne","Bern","EVP",62
"16","Bourgeois","Jacques","Freiburg","FDP",62
"17","Wobmann","Walter","Solothurn","SVP",62
"18","Wettstein","Felix","Solothurn","Grüne",62
"19","Humbel","Ruth","Aargau","Mitte",62
"20","Crottaz","Brigitte","Waadt","SP",62
