"","Nom","Prénom","Canton","Parti","Age"
"1","Poncet","Charles","Genève","UDC",77
"2","Storni","Bruno","Tessin","PS",69
"3","Munz","Martina","Schaffhouse","PS",68
"4","Fehlmann Rielle","Laurence","Genève","PS",68
"5","Wettstein","Felix","Soleure","Les Vert-e-s",66
"6","Crottaz","Brigitte","Vaud","PS",66
"7","Fridez","Pierre-Alain","Jura","PS",66
"8","Vontobel","Erich","Zurich","UDF",65
"9","Müller","Leo","Lucerne","Le Centre",65
"10","Binder-Keller","Marianne","Argovie","Le Centre",65
"11","Prelicz-Huber","Katharina","Zurich","Les Vert-e-s",64
"12","Schilliger","Peter","Lucerne","PLR",64
"13","Bulliard-Marbach","Christine","Fribourg","Le Centre",64
"14","Golay","Roger","Genève","Divers",64
"15","Poggia","Mauro","Genève","Divers",64
"16","Page","Pierre-André","Fribourg","UDC",63
"17","Nussbaumer","Eric","Bâle-Campagne","PS",63
"18","Friedl","Claudia","Saint-Gall","PS",63
"19","de Quattro","Jacqueline","Vaud","PLR",63
"20","Heer","'Alfred 'Fredi''","Zurich","UDC",62
