"","Parti","Partei","Partito","1975","1979","1983","1987","1991","1995","1999","2003","2007","2011","2015","2019","2023"
"1","Divers","Übrige","Diversi",18,16,19,19,25,17,6,5,2,13,11,4,3
"2","UDC","SVP","UDC",21,23,23,25,25,29,44,55,62,54,65,53,44
"3","PLR","FDP","PLR",53,59,62,60,54,52,49,40,35,30,33,29,22
"4","Le Centre","Mitte","Centro",46,44,42,42,35,34,35,28,31,28,27,25,24
"5","PEV","EVP","PEV",3,3,3,3,3,2,3,3,2,2,2,3,0
"6","PS","SP","PS",55,51,47,41,41,54,51,52,43,46,43,39,28
"7","Gauche alternative","Linksparteien","Estrema sinistra",4,3,1,1,2,3,2,2,1,0,1,2,0
"8","Les Vert-e-s","Grüne","Verdi",0,1,3,9,14,8,9,13,20,15,11,28,16
"9","UDF","EDU","UDF",0,0,0,0,1,1,1,2,1,0,0,1,0
"10","Vert'libéraux","GLP","Verdi liberali",0,0,0,0,0,0,0,0,3,12,7,16,3
