"","Nome","Cognome","Cantone","Partito","Età"
"1","Grin","Jean-Pierre","Vaud","UDC",72
"2","Brélaz","Daniel","Vaud","Les Vert-e-s",70
"3","Eymann","Christoph","Basilea Città","PLR",69
"4","Gschwind","Jean-Paul","Giura","Le Centre",67
"5","Haller","Jocelyne","Ginevra","Gauche alternative",66
"6","Vitali","Albert","Lucerna","PLR",64
"7","Gmür","Alois","Svitto","Le Centre",64
"8","Fluri","Kurt","Soletta","PLR",64
"9","Munz","Martina","Sciaffusa","PS",64
"10","Herzog","Verena","Turgovia","UDC",64
"11","Egger","Kurt","Turgovia","Les Vert-e-s",64
"12","Français","Olivier","Vaud","PLR",64
"13","Fehlmann Rielle","Laurence","Ginevra","PS",64
"14","Fiala","Doris","Zurigo","PLR",63
"15","Streiff","Marianne","Berna","PEV",62
"16","Bourgeois","Jacques","Friburgo","PLR",62
"17","Wobmann","Walter","Soletta","UDC",62
"18","Wettstein","Felix","Soletta","Les Vert-e-s",62
"19","Humbel","Ruth","Argovia","Le Centre",62
"20","Crottaz","Brigitte","Vaud","PS",62
