"","Nome","Cognome","Cantone","Partito","Età","Data di nascita"
"1","Riem","Katja","Berna","UDC",27,1996-12-26
"2","Silberschmidt","Andri","Zurigo","PLR",30,1994-02-26
"3","Marti","Samira","Basilea Campagna","PS",30,1994-01-23
"4","Egger","Mike","San Gallo","UDC",31,1992-08-02
"5","Ryser","Franziska","San Gallo","Verdi",32,1991-10-22
"6","Fischer","'Benjamin 'Beni''","Zurigo","UDC",32,1991-08-16
"7","Molina","Fabian","Zurigo","PS",33,1990-07-08
"8","Rosenwasser","Anna","Zurigo","PS",33,1990-05-01
"9","Funiciello","Tamara","Berna","PS",34,1990-03-20
"10","Schläfli","Nina","Turgovia","PS",34,1990-01-01
"11","Revaz","Estelle","Ginevra","PS",34,1989-07-12
"12","Porchet","Léonore","Vaud","Verdi",34,1989-07-09
"13","Schnyder","Markus","Glarona","UDC",35,1988-12-04
"14","Wyss","Sarah","Basilea Città","PS",35,1988-08-03
"15","Stadler","Simon","Uri","Centro",35,1988-05-02
"16","Meyer","Mattea","Zurigo","PS",36,1987-11-09
"17","Blunschy","Dominik","Svitto","Centro",36,1987-10-27
"18","Gredig","Corina","Zurigo","Verdi liberali",36,1987-09-08
"19","Heimgartner","Stefanie","Argovia","UDC",36,1987-04-25
"20","Kälin","Irène","Argovia","Verdi",37,1987-02-06
