"","Nom","Prénom","Canton","Parti","Age"
"1","Grünenfelder","Max","Zurich","Le Centre",88
"2","Lindner","Roland","Bâle-Ville","UDC",86
"3","Ruggaber","Christa","Argovie","PLR",86
"4","Hofmann","Hans","Zurich","UDC",85
"5","Meli","Hedy","Zurich","Le Centre",84
"6","Aicher","Jean","Zurich","Gauche alternative",84
"7","Angst","Rosa","Zurich","Autres",83
"8","Franchi","Corina","Tessin","Le Centre",83
"9","Berset","René","Zurich","Le Centre",82
"10","von Scarpatetti","Beat","Bâle-Campagne","Les Vert-e-s",82
"11","Pfeiffer","Peter","Thurgovie","PVL",82
"12","Definti","Gianfranco","Tessin","Le Centre",82
"13","Brändli","Otto","Zurich","PVL",81
"14","Verrey","Etiennette J.","Bâle-Ville","PS",81
"15","Maurizio","Marco","Tessin","Les Vert-e-s",81
"16","Schärer","Alec André","Jura","Autres",81
"17","Sigg-Riegler","Christine","Zurich","Le Centre",80
"18","Garzotto","Marina","Zurich","UDC",80
"19","Büchi","Heinz","Zurich","UDC",80
"20","Scheuber","Karl","Zurich","PS",80
