"","Gemeinde","Kanton","Anteil"
"1","Schelten","BE",36.625514403
"2","Les Enfers","JU",33.582089552
"3","Ferreyres","VD",27.641462193
"4","Oltingen","BL",25.183098592
"5","Enges","NE",25.062656642
"6","Onsernone","TI",24.820430966
"7","Neuenstadt","BE",24.195141221
"8","Daillens","VD",24.161196207
"9","Freiburg","FR",23.701950445
"10","Rochefort","NE",23.648983639
"11","Astano","TI",23.345935728
"12","Salvan","VS",23.279945861
"13","Romainmôtier-Envy","VD",23.140749846
"14","Bister","VS",22.377622378
"15","Lajoux JU","JU",22.02020202
"16","Bern","BE",21.747578183
"17","Plateau de Diesse","BE",21.648431802
"18","Lovatens","VD",21.347031963
"19","Arbaz","VS",21.254523522
"20","Oppens","VD",20.337682272
"21","Neuenburg","NE",20.155282998
"22","Fontaines-sur-Grandson","VD",20.106288751
"23","La Tène","NE",20.01156738
"24","Lausanne","VD",20.008511623
"25","Chêne-Pâquier","VD",19.959266802
"26","Lussy-sur-Morges","VD",19.948739855
"27","CarouGE","GE",19.770643073
"28","Grandevent","VD",19.580924855
"29","Zug","ZG",19.566794862
"30","Biel BE","BE",19.533567346
"31","Steinhausen","ZG",19.532814238
"32","Olten","SO",19.467414561
"33","Orny","VD",19.151565074
"34","Mettembert","JU",19.090909091
"35","Leubringen","BE",18.959443203
"36","Cormoret","BE",18.771842237
"37","Maracon","VD",18.691837277
"38","Basel","BS",18.548860572
"39","La Ferrière","BE",18.497868153
"40","Montfaucon","JU",18.224299065
"41","Saint-Blaise","NE",17.96803653
"42","Solothurn","SO",17.923068715
"43","Collex-Bossy","GE",17.899562409
"44","Cartigny","GE",17.796610169
"45","Terre di Pedemonte","TI",17.775
"46","Cham","ZG",17.746709491
"47","La Sarraz","VD",17.716452496
"48","Kammersrohr","SO",17.708333333
"49","Baulmes","VD",17.703191839
"50","Denges","VD",17.679697352
