"","Gemeinde","Kanton","Anteil"
"1","Vaux-sur-Morges","VD",21.862615588
"2","Otelfingen","ZH",19.017398304
"3","Trélex","VD",17.772541238
"4","Chigny","VD",17.713745867
"5","Bremgarten bei Bern","BE",17.336878022
"6","Hettlingen","ZH",16.725322955
"7","Vaulion","VD",16.41198044
"8","La Rippe","VD",16.320474777
"9","Bolligen","BE",16.224541675
"10","Schwerzenbach","ZH",16.201523756
"11","Hedingen","ZH",16.002886825
"12","Bellmund","BE",15.926170865
"13","Wettswil am Albis","ZH",15.877458396
"14","Ottenbach","ZH",15.813749176
"15","Bonstetten","ZH",15.747487703
"16","Le Vaud","VD",15.67702189
"17","Männedorf","ZH",15.566666218
"18","Dübendorf","ZH",15.540560855
"19","Commugny","VD",15.518937531
"20","Muri bei Bern","BE",15.515507188
"21","Arzier-Le Muids","VD",15.462822458
"22","Uitikon","ZH",15.436203945
"23","Arnex-sur-Nyon","VD",15.360824742
"24","Frauenkappelen","BE",15.237063965
"25","Aesch ZH","ZH",15.147677416
"26","Stäfa","ZH",15.133816241
"27","Duillier","VD",15.06612996
"28","Dietlikon","ZH",14.74548663
"29","Elgg","ZH",14.732665208
"30","Auenstein","AG",14.599595259
"31","Kilchberg ZH","ZH",14.590861557
"32","Etoy","VD",14.568665377
"33","Wasterkingen","ZH",14.554888039
"34","Bogis-Bossey","VD",14.546599496
"35","Uster","ZH",14.538985171
"36","Münsingen","BE",14.536927538
"37","Aeugst am Albis","ZH",14.50644961
"38","Knonau","ZH",14.486183074
"39","Stallikon","ZH",14.451618689
"40","Kirchlindach","BE",14.426463967
"41","Signy-Avenex","VD",14.386792453
"42","Greifensee","ZH",14.351993996
"43","Laupen","BE",14.315098295
"44","Mettmenstetten","ZH",14.278395481
"45","Thalwil","ZH",14.263612371
"46","Mies","VD",14.171542743
"47","Allmendingen","BE",14.153749804
"48","Bäriswil","BE",14.138693854
"49","Rubigen","BE",14.051771491
"50","Meilen","ZH",13.995748667
