"","Gemeinde","Kanton","Anteil"
"1","Ederswiler","JU",93.47826087
"2","Berken","BE",80.833333333
"3","Schangnau","BE",80.024946543
"4","Lütschental","BE",78.374153205
"5","Hundwil","AR",73.06501548
"6","Kandergrund","BE",72.628361858
"7","Eriz","BE",72.245108136
"8","Pohlern","BE",70.375457875
"9","Urnäsch","AR",70.298165138
"10","Saxeten","BE",70
"11","Oberlangenegg","BE",69.954981405
"12","Eggiwil","BE",69.234172455
"13","Wachseldorn","BE",69.22253923
"14","Beggingen","SH",69.138276553
"15","Schönengrund","AR",68.421052632
"16","Habkern","BE",68.334227468
"17","Röthenbach im Emmental","BE",67.972729997
"18","Reisiswil","BE",67.53171857
"19","Diemtigen","BE",67.228757095
"20","Roches BE","BE",67.073170732
"21","Schwellbrunn","AR",66.083916084
"22","Därstetten","BE",65.459221948
"23","Häutligen","BE",65.246853824
"24","Holziken","AG",64.990275076
"25","Champoz","BE",64.614638875
"26","Arni BE","BE",64.034830251
"27","Riemenstalden","SZ",63.855421687
"28","Boltigen","BE",63.569449941
"29","Leibstadt","AG",63.350976456
"30","Rumisberg","BE",63.026072675
"31","Oberhallau","SH",62.995594714
"32","Teuffenthal BE","BE",62.928759894
"33","Grindelwald","BE",62.928508144
"34","Liedertswil","BL",62.889518414
"35","Walterswil BE","BE",62.733135785
"36","Höchstetten","BE",62.638827188
"37","Oeschenbach","BE",62.5
"38","Lauenen","BE",62.228368234
"39","Spiringen","UR",61.559139785
"40","Uerkheim","AG",61.35385418
"41","Zielebach","BE",61.244019139
"42","Alpthal","SZ",61.155698234
"43","Conters im Prättigau","GR",61.111111111
"44","Landiswil","BE",61.039338075
"45","Schmiedrued","AG",60.958570268
"46","Roggenburg","BL",60.766961652
"47","Buchholterberg","BE",60.63622975
"48","Trub","BE",60.446639467
"49","Schönholzerswilen","TG",60.130391174
"50","Eptingen","BL",60.066225166
