"","Commune","Canton","Pourcentage"
"1","Riemenstalden",5,0
"2","Rongellen",18,0
"3","Corippo",21,0
"4","Rothenthurm",5,0.169539418
"5","Brusio",18,0.41691483
"6","Cama",18,0.490196078
"7","Lütschental",2,0.526623757
"8","Berken",2,0.595238095
"9","Unteriberg",5,0.718870347
"10","Ferrera",18,0.769230769
"11","Saas-Grund",23,0.772296961
"12","Vorderthal",5,0.799360512
"13","Ferden",23,0.860585198
"14","Sattel",5,0.87596356
"15","Buseno",18,0.909090909
"16","Illgau",5,0.993124523
"17","Eisten",23,1.011235955
"18","Furna",18,1.066666667
"19","Oeschenbach",2,1.182033097
"20","Bedretto",21,1.201923077
"21","Innerthal",5,1.234567901
"22","Samnaun",18,1.243781095
"23","Zwischbergen",23,1.255230126
"24","Avers",18,1.319261214
"25","Wachseldorn",2,1.329787234
"26","Saas-Almagell",23,1.331853496
"27","Feusisberg",5,1.395565204
"28","Niedergesteln",23,1.430143014
"29","Staldenried",23,1.447619048
"30","Oberiberg",5,1.495215311
"31","Simplon",23,1.515151515
"32","Doppleschwand",3,1.524032825
"33","Glarus Nord",8,1.663680573
"34","Eischoll",23,1.718213058
"35","Embd",23,1.733576642
"36","Falera",18,1.859337106
"37","Schmitten (GR)",18,1.971830986
"38","Törbel",23,1.976121861
"39","Rohrbachgraben",2,2.070207021
"40","Zillis-Reischen",18,2.177293935
"41","Herbetswil",11,2.194357367
"42","St. Niklaus",23,2.200845358
"43","Küssnacht (SZ)",5,2.209510991
"44","Röthenbach im Emmental",2,2.209944751
"45","Muotathal",5,2.210565755
"46","Guttet-Feschel",23,2.23880597
"47","Hasle (LU)",3,2.24668275
"48","Mont-Tramelan",2,2.25
"49","Oberhallau",14,2.257336343
"50","Poschiavo",18,2.277944552
