"","Commune","Canton","Pourcentage"
"1","Schelten",2,0
"2","Seehof",2,0
"3","Rebévelier",2,0
"4","Corippo",21,0
"5","Bister",23,0
"6","Ederswiler",26,0
"7","Niedergesteln",23,0.183351669
"8","Eisten",23,0.224719101
"9","Wachseldorn",2,0.265957447
"10","Fieschertal",23,0.360036004
"11","Albinen",23,0.36101083
"12","Lütschental",2,0.468110006
"13","Ernen",23,0.471204188
"14","Blatten",23,0.488485694
"15","Binn",23,0.488997555
"16","Grächen",23,0.501848917
"17","Visperterminen",23,0.573785189
"18","Mont-Tramelan",2,0.583333333
"19","Eischoll",23,0.58910162
"20","Guttet-Feschel",23,0.621890547
"21","Rohrbachgraben",2,0.675067507
"22","Eriz",2,0.713371136
"23","Inden",23,0.751879699
"24","Homberg",2,0.815728927
"25","Guggisberg",2,0.821569945
"26","Eggerberg",23,0.839748076
"27","Wiler (Lötschen)",23,0.8509064
"28","Ferden",23,0.860585198
"29","Raron",23,0.863609291
"30","Unterbäch",23,0.867947923
"31","Steg-Hohtenn",23,0.909918107
"32","Bettmeralp",23,0.953895072
"33","Agarn",23,0.954575379
"34","Ausserberg",23,0.959147425
"35","Saas-Balen",23,0.983606557
"36","Roches (BE)",2,0.994318182
"37","Mettembert",26,1
"38","Embd",23,1.003649635
"39","Zeneggen",23,1.05973025
"40","Lax",23,1.079136691
"41","Kippel",23,1.123595506
"42","Goms",23,1.177536232
"43","St. Niklaus",23,1.18058592
"44","Leuk",23,1.242022919
"45","Simplon",23,1.298701299
"46","Törbel",23,1.317414574
"47","Sorvilier",2,1.333333333
"48","Obergoms",23,1.34175217
"49","Corcelles (BE)",2,1.41025641
"50","Gampel-Bratsch",23,1.416015625
