"","Commune","Canton","Pourcentage"
"1","Rebévelier",2,0
"2","Riemenstalden",5,0
"3","Prévondavaux",10,0
"4","Bedretto",21,0
"5","Giornico",21,0
"6","Brione (Verzasca)",21,0
"7","Corippo",21,0
"8","Frasco",21,0
"9","Sonogno",21,0
"10","Brusino Arsizio",21,0
"11","Campo (Vallemaggia)",21,0
"12","Cerentino",21,0
"13","Linescio",21,0
"14","Zwischbergen",23,0
"15","Bourg-Saint-Pierre",23,0
"16","Binn",23,0
"17","Inden",23,0
"18","Eisten",23,0
"19","Champoz",2,0.050761421
"20","Riviera",21,0.056135624
"21","Saas-Balen",23,0.06557377
"22","Blatten",23,0.069783671
"23","Isérables",23,0.071377587
"24","Hérémence",23,0.086926287
"25","Balerna",21,0.105782793
"26","Niedergesteln",23,0.110011001
"27","Lavertezzo",21,0.110334682
"28","Riederalp",23,0.120336943
"29","Guttet-Feschel",23,0.124378109
"30","Varen",23,0.126849894
"31","Agarn",23,0.131665569
"32","Saint-Martin (VS)",23,0.142734799
"33","Salgesch",23,0.153243657
"34","Vernayaz",23,0.158730159
"35","Quinto",21,0.158931977
"36","Liddes",23,0.16563147
"37","Bedano",21,0.170731707
"38","Pollegio",21,0.176886792
"39","Unterbäch",23,0.185988841
"40","Veyras",23,0.191458027
"41","Turtmann-Unterems",23,0.198500221
"42","Biasca",21,0.201304453
"43","Finhaut",23,0.20661157
"44","Bitsch",23,0.209142516
"45","Chippis",23,0.211288862
"46","Riva San Vitale",21,0.223478375
"47","Trient",23,0.242130751
"48","Törbel",23,0.247015233
"49","St. Niklaus",23,0.247777292
"50","Grône",23,0.252844501
