"","Commune","Canton","Pourcentage"
"1","Oltingen",13,38.378378378
"2","Onsernone",21,36.942924159
"3","Les Enfers",26,36.507936508
"4","Daillens",22,34.596893491
"5","Campo (Vallemaggia)",21,33.796296296
"6","Ferreyres",22,32.904085258
"7","Fontaines-sur-Grandson",22,31.281032771
"8","Puplinge",25,31.071878941
"9","Schelten",2,30.882352941
"10","Presinge",25,30.68
"11","Tenniken",13,30.247933884
"12","Romainmôtier-Envy",22,30.088008801
"13","Versoix",25,29.906148247
"14","Sissach",13,29.495545238
"15","Russin",25,28.827037773
"16","Carouge (GE)",25,28.699380657
"17","Kilchberg (BL)",13,28.518518519
"18","Reverolle",22,28.456659619
"19","Rochefort",24,27.674672489
"20","Rothenfluh",13,27.576754386
"21","Troinex",25,27.264258358
"22","Lausanne",22,27.257761252
"23","Avully",25,26.976365118
"24","Cartigny",25,26.951120713
"25","Perly-Certoux",25,26.823473509
"26","Ramlinsburg",13,26.734177215
"27","Clarmont",22,26.724137931
"28","Chêne-Bourg",25,26.588852324
"29","Enges",24,26.530612245
"30","Plateau de Diesse",2,26.492287056
"31","Boulens",22,26.451612903
"32","Neuchâtel",24,26.171330885
"33","Bardonnex",25,26.083611182
"34","Baulmes",22,26.055988074
"35","Genève",25,25.996980689
"36","Ogens",22,25.918635171
"37","Treycovagnes",22,25.830564784
"38","Hermance",25,25.762289981
"39","Confignon",25,25.737644455
"40","La Neuveville",2,25.531467944
"41","Dornach",11,25.455624311
"42","Chêne-Pâquier",22,25.396825397
"43","Bussy-Chardonney",22,25.371073524
"44","Satigny",25,25.341908173
"45","Avusy",25,25.307721
"46","Bern",2,25.24440106
"47","Céligny",25,25.196463654
"48","Bretonnières",22,25.083426029
"49","Yverdon-les-Bains",22,25.079170594
"50","Pampigny",22,25.067340067
