"","Commune","Canton","Pourcentage"
"1","Vaux-sur-Morges",22,23.778071334
"2","Otelfingen",1,21.067791379
"3","Villars-Epeney",22,20
"4","Hettlingen",1,18.773963343
"5","Fideris",18,18.394024276
"6","Greifensee",1,17.729993978
"7","Knonau",1,17.32276932
"8","Dänikon",1,17.233398611
"9","Schwerzenbach",1,17.211856528
"10","Dübendorf",1,17.189962481
"11","Wettswil am Albis",1,17.10755252
"12","Männedorf",1,17.065563568
"13","Stäfa",1,16.948295502
"14","Eglisau",1,16.858718388
"15","Thalwil",1,16.850636603
"16","Ottenbach",1,16.840071344
"17","Uitikon",1,16.768072945
"18","Borex",22,16.603053435
"19","Rüschlikon",1,16.595657307
"20","Frauenkappelen",2,16.567189632
"21","Udligenswil",3,16.506430266
"22","Zollikon",1,16.456603748
"23","Hedingen",1,16.415343638
"24","Bursinel",22,16.401124649
"25","Weisslingen",1,16.351344895
"26","Erlenbach (ZH)",1,16.342499109
"27","Bonstetten",1,16.237935164
"28","Dietlikon",1,16.190208299
"29","Kilchberg (ZH)",1,16.130795662
"30","Maur",1,15.998332639
"31","Chéserex",22,15.874198837
"32","Saint-Blaise",24,15.846994536
"33","Stallikon",1,15.706819696
"34","Marchissy",22,15.692048801
"35","Zürich",1,15.659913543
"36","Opfikon",1,15.567995257
"37","Arnex-sur-Nyon",22,15.489361702
"38","Coppet",22,15.446449681
"39","Onnens (VD)",22,15.407741451
"40","Uster",1,15.370608513
"41","Haldenstein",18,15.327833261
"42","Bournens",22,15.318503539
"43","Meilen",1,15.244627073
"44","Berg am Irchel",1,15.147783251
"45","Commugny",22,15.12577589
"46","Peseux",24,15.090989791
"47","Fehraltorf",1,15.031561927
"48","Bremgarten bei Bern",2,14.974149486
"49","Boppelsen",1,14.972683507
"50","Oppligen",2,14.956550802
