Comune,Cantone,Tasso di partecipazione
Schlatt-Haslen,AI,21.867321867
Oberegg,AI,24.348422497
Schwende-Rüti,AI,24.607687059
Val-de-Travers,NE,25.395361096
Schelten,BE,25.925925926
Lucens,VD,26.034419627
Spreitenbach,AG,26.363829336
Gonten,AI,26.893939394
Appenzello,AI,26.926952141
Rossa,GR,27.932960894
Opfikon,ZH,28.487931594
Saint-Cergue,VD,28.541001065
Henniez,VD,28.925619835
Roche VD,VD,29.253112033
Chavannes-près-Renens,VD,29.755644912
Oberglatt,ZH,30.147651007
San Vittore,GR,30.278232406
Pieterlen,BE,30.95065312
Les Verrières,NE,31.076388889
Renens VD,VD,31.153757757
Renan BE,BE,31.417112299
Moutier,BE,31.438721137
Rennaz,VD,31.687242798
Cama,GR,31.796116505
Zwingen,BL,31.86877563
La Ferrière,BE,31.980906921
Mesocco,GR,31.992149166
Schlieren,ZH,32.214839424
St. Immer,BE,32.393899204
Sonceboz-Sombeval,BE,32.538461538
Rorschach,SG,32.593856655
Moudon,VD,32.611174458
Roveredo GR,GR,32.648125756
Schmitten GR,GR,32.934131737
Grono,GR,32.938643703
Péry-La Heutte,BE,33.063328424
Sonvilier,BE,33.0672748
Villeneuve VD,VD,33.44017094
Kloten,ZH,33.521758636
Vallorbe,VD,33.532110092
