"","Comune","Canton","Percento"
"1","Oltingen","BL",38.378378378
"2","Onsernone","TI",36.942924159
"3","Les Enfers","JU",36.507936508
"4","Daillens","VD",34.596893491
"5","Campo (Vallemaggia)","TI",33.796296296
"6","Ferreyres","VD",32.904085258
"7","Fontaines-sur-Grandson","VD",31.281032771
"8","Puplinge","GE",31.071878941
"9","Schelten","BE",30.882352941
"10","Presinge","GE",30.68
"11","Tenniken","BL",30.247933884
"12","Romainmôtier-Envy","VD",30.088008801
"13","Versoix","GE",29.906148247
"14","Sissach","BL",29.495545238
"15","Russin","GE",28.827037773
"16","CarouGE","GE",28.699380657
"17","Kilchberg BL","BL",28.518518519
"18",NA,NA,28.456659619
"19","Rochefort","NE",27.674672489
"20","Rothenfluh","BL",27.576754386
"21","Troinex","GE",27.264258358
"22","Losanna","VD",27.257761252
"23","Avully","GE",26.976365118
"24","Cartigny","GE",26.951120713
"25","Perly-Certoux","GE",26.823473509
"26","Ramlinsburg","BL",26.734177215
"27","Clarmont","VD",26.724137931
"28","Chêne-Bourg","GE",26.588852324
"29","Enges","NE",26.530612245
"30","Plateau de Diesse","BE",26.492287056
"31","Boulens","VD",26.451612903
"32","Neuenburg","NE",26.171330885
"33","Bardonnex","GE",26.083611182
"34","Baulmes","VD",26.055988074
"35","Ginevra","GE",25.996980689
"36","Ogens","VD",25.918635171
"37","Treycovagnes","VD",25.830564784
"38","Hermance","GE",25.762289981
"39","Confignon","GE",25.737644455
"40","Neuenstadt","BE",25.531467944
"41","Dornach","SO",25.455624311
"42","Chêne-Pâquier","VD",25.396825397
"43",NA,NA,25.371073524
"44","Satigny","GE",25.341908173
"45","Avusy","GE",25.307721
"46","Berna","BE",25.24440106
"47","Céligny","GE",25.196463654
"48","Bretonnières","VD",25.083426029
"49","Yverdon-les-Bains","VD",25.079170594
"50",NA,NA,25.067340067
