"","Comune","Cantone","Percentuale"
"1","Rossenges","VD",60.548523207
"2","Trogen","AR",54.281567489
"3","Sachseln","OW",53.178155774
"4","Sarnen","OW",51.99245461
"5","Speicher","AR",50.096711799
"6","Teufen AR","AR",49.128630705
"7","Lungern","OW",46.191889219
"8","Alpnach","OW",46.171273222
"9","Gais","AR",45.320197044
"10","Giswil","OW",44.846292948
"11","Kammersrohr","SO",44.791666667
"12","Engelberg","OW",43.399638336
"13","Corcelles-le-Jorat","VD",43.260808138
"14","Rehetobel","AR",42.879499218
"15","Kerns","OW",42.37037037
"16","Heiden","AR",42.122719735
"17","Feldbrunnen-St. Niklaus","SO",40.744500846
"18","Cologny","GE",40.473539237
"19","Bühler","AR",40
"20","Isérables","VS",39.383012821
"21","Bursinel","VD",38.915821948
"22","Linescio","TI",38.759689922
"23","Prato (Leventina)","TI",38.418474458
"24","Dully","VD",38.141335915
"25","Vufflens-le-Château","VD",37.399087399
"26","Arnex-sur-Nyon","VD",37.216494845
"27","Nebikon","LU",37.144702842
"28","Avers","GR",37.129840547
"29","Vouvry","VS",36.732700893
"30","Bregaglia","GR",36.687797147
"31","Vandoeuvres","GE",36.644004335
"32","Ormont-Dessus","VD",36.638154484
"33","Stein AR","AR",35.750421585
"34","Mex VD","VD",35.661438295
"35","Crans-près-Céligny","VD",35.62767475
"36","Tannay","VD",35.562517025
"37","Romanel-sur-Morges","VD",35.45426736
"38","Morcote","TI",35.269953052
"39","Féchy","VD",35.133957743
"40","Ropraz","VD",34.89346839
"41","Trey","VD",34.762456547
"42","Lüterswil-Gächliwil","SO",34.518828452
"43","Hermenches","VD",34.481327801
"44","Lutry","VD",34.093964358
"45","Bougy-Villars","VD",34.0918494
"46","Brot-Plamboz","NE",33.901515152
"47","Corcelles-près-Payerne","VD",33.847367038
"48","Corsier GE","GE",33.717620268
"49","Wolfhalden","AR",33.611691023
"50","Dorénaz","VS",33.189655172
