"","Comune","Cantone","Percentuale"
"1","Fontenais","JU",46.296296296
"2","Berolle","VD",39.390168015
"3","Chavannes-près-Renens","VD",38.999242733
"4","Courchapoix","JU",37.918215613
"5","Berna","BE",37.664665693
"6","Haute-Sorne","JU",36.867654573
"7","Le Chenit","VD",36.766234994
"8","Birsfelden","BL",36.660533579
"9","Evionnaz","VS",36.500655308
"10","Delsberg","JU",36.351917499
"11","Champtauroz","VD",36.280137773
"12","Renens VD","VD",36.049038501
"13","Courrendlin","JU",35.900339751
"14","Sciaffusa","SH",35.8729485
"15","Lajoux JU","JU",34.545454545
"16","Prévonloup","VD",34.348819497
"17","Moutier","BE",34.23702794
"18","Mervelier","JU",34.166666667
"19","Saignelégier","JU",33.821989529
"20","Saubraz","VD",33.777549974
"21","Le Noirmont","JU",33.767361111
"22","Basilea","BS",33.65171349
"23","Biel BE","BE",33.625052837
"24","Prilly","VD",33.213695517
"25","Zurigo","ZH",33.032921723
"26","Losanna","VD",32.81313269
"27","Münchenstein","BL",32.761913028
"28","Bussigny","VD",32.366881217
"29","Rodersdorf","SO",32.011331445
"30","Buckten","BL",31.8651441
"31","Courroux","JU",31.515469324
"32","Ecublens VD","VD",31.503088538
"33","Pruntrut","JU",31.211105792
"34","Yverdon-les-Bains","VD",31.162081979
"35","Coeuve","JU",31.138790036
"36","Ziefen","BL",31.033741672
"37","Clarmont","VD",30.972615675
"38","Cronay","VD",30.848153215
"39","Les Breuleux","JU",30.847145488
"40","Romanel-sur-Lausanne","VD",30.832294878
"41","Croy","VD",30.735411671
"42","Lucens","VD",30.708845018
"43","Courtételle","JU",30.546825896
"44","Moiry","VD",30.440967283
"45","Boécourt","JU",30.174927114
"46","Neuhausen am Rheinfall","SH",30.155210643
"47","Friburgo","FR",30.032657219
"48","Frenkendorf","BL",30.02781241
"49","Ennetbaden","AG",30.016619082
"50","Corsier-sur-Vevey","VD",29.978176047
