"","Comune","Canton","Percento"
"1","Vaux-sur-Morges","VD",23.778071334
"2","Otelfingen","ZH",21.067791379
"3","Villars-Epeney","VD",20
"4","Hettlingen","ZH",18.773963343
"5","Fideris","GR",18.394024276
"6","Greifensee","ZH",17.729993978
"7","Knonau","ZH",17.32276932
"8","Dänikon","ZH",17.233398611
"9","Schwerzenbach","ZH",17.211856528
"10","Dübendorf","ZH",17.189962481
"11","Wettswil am Albis","ZH",17.10755252
"12","Männedorf","ZH",17.065563568
"13","Stäfa","ZH",16.948295502
"14","Eglisau","ZH",16.858718388
"15","Thalwil","ZH",16.850636603
"16","Ottenbach","ZH",16.840071344
"17","Uitikon","ZH",16.768072945
"18","Borex","VD",16.603053435
"19","Rüschlikon","ZH",16.595657307
"20","Frauenkappelen","BE",16.567189632
"21","Udligenswil","LU",16.506430266
"22","Zollikon","ZH",16.456603748
"23","Hedingen","ZH",16.415343638
"24","Bursinel","VD",16.401124649
"25","Weisslingen","ZH",16.351344895
"26","Erlenbach ZH","ZH",16.342499109
"27","Bonstetten","ZH",16.237935164
"28","Dietlikon","ZH",16.190208299
"29","Kilchberg ZH","ZH",16.130795662
"30","Maur","ZH",15.998332639
"31","Chéserex","VD",15.874198837
"32","Saint-Blaise","NE",15.846994536
"33","Stallikon","ZH",15.706819696
"34","Marchissy","VD",15.692048801
"35","Zurigo","ZH",15.659913543
"36","Opfikon","ZH",15.567995257
"37","Arnex-sur-Nyon","VD",15.489361702
"38","Coppet","VD",15.446449681
"39","Onnens VD","VD",15.407741451
"40","Uster","ZH",15.370608513
"41",NA,NA,15.327833261
"42","Bournens","VD",15.318503539
"43","Meilen","ZH",15.244627073
"44","Berg am Irchel","ZH",15.147783251
"45","Commugny","VD",15.12577589
"46",NA,NA,15.090989791
"47","Fehraltorf","ZH",15.031561927
"48","Bremgarten bei Bern","BE",14.974149486
"49","Boppelsen","ZH",14.972683507
"50","Oppligen","BE",14.956550802
