gemeinde_nummer,gemeinde_bezeichnung,partei_id,pourcent_2023,voix_2023,kantons_nr,gemeinde_d,gemeinde_f,gemeinde_i,kanton_short,pourcent_2019,voix_2019,diff_pourcent,diff_total
1,Aeugst am Albis,4,34.24,9928,1,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis,ZH,30.38,8246,3.86,1682
2,Affoltern am Albis,4,32.19,37117,1,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis,ZH,30.31,31875,1.88,5242
3,Bonstetten,4,28.14,19963,1,Bonstetten,Bonstetten,Bonstetten,ZH,26.12,18102,2.02,1861
4,Hausen am Albis,4,34.13,16760,1,Hausen am Albis,Hausen am Albis,Hausen am Albis,ZH,33.18,15637,0.95,1123
5,Hedingen,4,31.29,16474,1,Hedingen,Hedingen,Hedingen,ZH,26.6,12684,4.69,3790
6,Kappel am Albis,4,47.72,7238,1,Kappel am Albis,Kappel am Albis,Kappel am Albis,ZH,43.64,5684,4.08,1554
7,Knonau,4,31.69,8807,1,Knonau,Knonau,Knonau,ZH,32.27,7779,-0.58,1028
8,Maschwanden,4,36.4,3043,1,Maschwanden,Maschwanden,Maschwanden,ZH,44.52,3293,-8.12,-250
9,Mettmenstetten,4,34.62,25001,1,Mettmenstetten,Mettmenstetten,Mettmenstetten,ZH,31.23,19091,3.39,5910
10,Obfelden,4,37.56,21085,1,Obfelden,Obfelden,Obfelden,ZH,33.72,17716,3.84,3369
11,Ottenbach,4,34.88,12704,1,Ottenbach,Ottenbach,Ottenbach,ZH,32.31,10869,2.57,1835
12,Rifferswil,4,28.68,5172,1,Rifferswil,Rifferswil,Rifferswil,ZH,26.82,4148,1.86,1024
13,Stallikon,4,32.13,14333,1,Stallikon,Stallikon,Stallikon,ZH,35.62,13903,-3.49,430
14,Wettswil am Albis,4,29.43,19456,1,Wettswil am Albis,Wettswil am Albis,Wettswil am Albis,ZH,28.38,17616,1.05,1840
22,Benken (ZH),4,49.12,5305,1,Benken ZH,Benken (ZH),Benken ZH,ZH,46.65,4678,2.47,627
23,Berg am Irchel,4,54.15,5027,1,Berg am Irchel,Berg am Irchel,Berg am Irchel,ZH,52.71,4708,1.44,319
24,Buch am Irchel,4,44.62,6477,1,Buch am Irchel,Buch am Irchel,Buch am Irchel,ZH,48.63,6039,-4.01,438
25,Dachsen,4,28.95,6895,1,Dachsen,Dachsen,Dachsen,ZH,30.32,6417,-1.37,478
26,Dorf,4,45.64,4455,1,Dorf,Dorf,Dorf,ZH,48.87,3920,-3.23,535
27,Feuerthalen,4,30.65,10640,1,Feuerthalen,Feuerthalen,Feuerthalen,ZH,31.52,9778,-0.87,862
28,Flaach,4,49.06,9579,1,Flaach,Flaach,Flaach,ZH,48.3,8228,0.76,1351
29,Flurlingen,4,23.64,4587,1,Flurlingen,Flurlingen,Flurlingen,ZH,25.13,4517,-1.49,70
31,Henggart,4,35.34,11379,1,Henggart,Henggart,Henggart,ZH,37.3,10760,-1.96,619
