"","Année","Divers","UDF","UDC","PLR","Le Centre","EVP","PS","Les Vert-e-s","Gauche alternative","Vert'libéraux"
"1",1975,685,55,198,320,239,87,248,8,114,NA
"2",1979,653,59,212,267,219,93,224,28,100,NA
"3",1983,737,39,218,264,186,90,224,76,51,NA
"4",1987,979,79,204,298,216,100,279,186,70,NA
"5",1991,939,75,238,303,307,130,268,237,72,NA
"6",1995,944,163,294,386,341,162,241,256,57,NA
"7",1999,828,135,333,414,332,212,369,194,37,NA
"8",2003,649,106,386,470,317,260,352,282,30,NA
"9",2007,477,164,406,485,361,261,404,424,76,46
"10",2011,661,164,393,448,398,243,436,393,100,241
"11",2015,707,218,437,464,444,214,485,402,69,362
"12",2019,738,114,574,525,707,306,608,456,159,477
"13",2023,718,193,607,619,1083,358,683,598,70,799
